"Final Fantasy Card Name","Original MTG Name","Card Image","Card Set","Card Number","Print Variant","Available Variants","Treatment / Frame","Game Number","Rarity","Type Line","Color Identity","Owned","Non-Foil Qty","Foil Qty","Special Foil Qty","Total Quantity Owned","Condition","Price (USD)","Price (Foil)","Storage Location"
"Kimahri, Valiant Guardian","","=IMAGE(""https://cards.scryfall.io/normal/front/4/2/42006bd4-f6f0-4638-a50e-46d9d7a54b6e.jpg?1783906346"", 1)","FIC","0085","Surge Foil","Surge Foil","Standard","FF10","Rare","Legendary Creature — Cat Warrior","GU","No",0,0,0,0,"Near Mint (NM)",0.24,"",""
"Kimahri, Valiant Guardian","","=IMAGE(""https://cards.scryfall.io/normal/front/4/0/402780a2-ae0b-448d-a93a-e5ef6f7160d4.jpg?1783906314"", 1)","FIC","0175","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF10","Rare","Legendary Creature — Cat Warrior","GU","No",0,0,0,0,"Near Mint (NM)",0.65,6.38,""
"Kimahri, Valiant Guardian // Kimahri, Valiant Guardian","","=IMAGE(""https://cards.scryfall.io/normal/front/6/0/60078126-4ee4-41c1-b249-d2e9f0276766.jpg?1783906410"", 1)","AFIN","0029","Basic/Non-foil","Non-Foil, Traditional Foil","Art Card","FF10","Common","Card // Card","Colorless","No",0,0,0,0,"Near Mint (NM)","","",""
"Seymour Guado","Kinnan, Bonder Prodigy","=IMAGE(""https://cards.scryfall.io/normal/front/e/1/e141f975-945e-4e2c-ac04-6083b5bdaf16.jpg?1783906378"", 1)","FCA","0055","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF10","Mythic","Legendary Creature — Human Druid","GU","No",0,0,0,0,"Near Mint (NM)",18.66,122.42,""
"Knight","","=IMAGE(""https://cards.scryfall.io/normal/front/a/7/a7758a0b-9e85-4b4a-bf1c-ffcc6761dbad.jpg?1783906135"", 1)","TFIN","0010","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF7","Common","Token Creature — Knight","W","No",0,0,0,0,"Near Mint (NM)","","",""
"Barnabas Tharmr","Kraum, Ludevic's Opus","=IMAGE(""https://cards.scryfall.io/normal/front/b/1/b1a273c4-008a-41a0-84b8-38654303265d.jpg?1783906378"", 1)","FCA","0056","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF16","Rare","Legendary Creature — Zombie Horror","RU","No",0,0,0,0,"Near Mint (NM)",2.76,24.75,""
"Krile Baldesion","","=IMAGE(""https://cards.scryfall.io/normal/front/1/2/125dd19b-98a0-49d9-a870-63214255e12a.jpg?1783906345"", 1)","FIC","0086","Surge Foil","Surge Foil","Standard","FF14","Rare","Legendary Creature — Dwarf Wizard","UW","No",0,0,0,0,"Near Mint (NM)",0.28,"",""
"Krile Baldesion","","=IMAGE(""https://cards.scryfall.io/normal/front/1/7/170dcae0-3cf4-4f96-80a7-d70a5c15193c.jpg?1783906313"", 1)","FIC","0176","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF14","Rare","Legendary Creature — Dwarf Wizard","UW","No",0,0,0,0,"Near Mint (NM)",0.95,2.1,""
"Emet-Selch, Ascian","K'rrik, Son of Yawgmoth","=IMAGE(""https://cards.scryfall.io/normal/front/4/5/45393005-78c7-4056-9ce6-310264922af3.jpg?1783906384"", 1)","FCA","0036","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF14","Rare","Legendary Creature — Phyrexian Horror Minion","B","No",0,0,0,0,"Near Mint (NM)",2.99,18.94,""
"Kuja, Genome Sorcerer // Trance Kuja, Fate Defied","","=IMAGE(""https://cards.scryfall.io/normal/front/0/0/008782d2-72b0-4554-b1ce-2db99969a4d8.jpg?1783906574"", 1)","FIN","0232","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF9","Rare","Legendary Creature — Human Mutant Wizard // Legendary Creature — Avatar Wizard","BR","No",0,0,0,0,"Near Mint (NM)",1.87,2.48,""
"Kuja, Genome Sorcerer // Trance Kuja, Fate Defied","","=IMAGE(""https://cards.scryfall.io/normal/front/b/a/bac7dbc9-3e3a-4933-98d1-4a0505c4b1da.jpg?1783906164"", 1)","PFIN","232s","Promo","Traditional Foil, Promo","Standard","FF9","Rare","Legendary Creature — Human Mutant Wizard // Legendary Creature — Avatar Wizard","BR","No",0,0,0,0,"Near Mint (NM)","",12.52,""
"Kuja, Genome Sorcerer // Trance Kuja, Fate Defied","","=IMAGE(""https://cards.scryfall.io/normal/front/3/7/374877d1-167a-42ea-adf3-a707ea0300e8.jpg?1783906507"", 1)","FIN","0399","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF9","Rare","Legendary Creature — Human Mutant Wizard // Legendary Creature — Avatar Wizard","BR","No",0,0,0,0,"Near Mint (NM)",4.77,5.35,""
"Kuja, Genome Sorcerer // Trance Kuja, Fate Defied","","=IMAGE(""https://cards.scryfall.io/normal/front/9/8/98067c9a-d81e-4f5c-b55a-28872331fce8.jpg?1783906467"", 1)","FIN","0497","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF9","Rare","Legendary Creature — Human Mutant Wizard // Legendary Creature — Avatar Wizard","BR","No",0,0,0,0,"Near Mint (NM)",4.82,42.7,""
"Kuja, Genome Sorcerer // Trance Kuja, Fate Defied","","=IMAGE(""https://cards.scryfall.io/normal/front/d/6/d673228a-eec8-4f6e-82fd-10db909ccee2.jpg?1783906446"", 1)","FIN","0544","Surge Foil","Surge Foil","Borderless","FF9","Rare","Legendary Creature — Human Mutant Wizard // Legendary Creature — Avatar Wizard","BR","No",0,0,0,0,"Near Mint (NM)","",52.74,""
"Vana'diel Adventurers","Laboratory Maniac","=IMAGE(""https://cards.scryfall.io/normal/front/4/4/44ede007-b6db-4396-8b25-9e2621cfeec4.jpg?1783906386"", 1)","FCA","0030","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF11","Uncommon","Creature — Human Wizard","U","No",0,0,0,0,"Near Mint (NM)",0.34,0.92,""
"Laughing Mad","","=IMAGE(""https://cards.scryfall.io/normal/front/c/d/cd5b9daf-6325-4eb4-a069-4a8cc7807884.jpg?1783906603"", 1)","FIN","0143","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF6","Common","Instant","R","No",0,0,0,0,"Near Mint (NM)",0.19,0.32,""
"Laughing Mad","","=IMAGE(""https://cards.scryfall.io/normal/front/9/2/9268ccdb-0b5b-4624-9443-f7b5330ec71f.jpg?1783906426"", 1)","FIN","0585","Surge Foil","Surge Foil","Standard","FF6","Common","Instant","R","No",0,0,0,0,"Near Mint (NM)","",3.45,""
"Legions to Ashes","","=IMAGE(""https://cards.scryfall.io/normal/front/3/9/39fe8402-2f70-4498-a0b6-6a9dd0e2848f.jpg?1783906248"", 1)","FIC","0326","Surge Foil","Surge Foil","Standard","FF6","Rare","Sorcery","BW","No",0,0,0,0,"Near Mint (NM)",0.19,"",""
"Lethal Scheme","","=IMAGE(""https://cards.scryfall.io/normal/front/0/8/0802be9f-686f-4321-afa4-d472241de653.jpg?1783906273"", 1)","FIC","0277","Surge Foil","Surge Foil","Standard","FF14","Rare","Instant","B","No",0,0,0,0,"Near Mint (NM)",0.28,"",""
"Lifestream's Blessing","","=IMAGE(""https://cards.scryfall.io/normal/front/4/8/48b4101b-3428-4b6b-818a-6097a093e9b5.jpg?1783906352"", 1)","FIC","0067","Surge Foil","Surge Foil","Standard","FF7","Rare","Instant","G","No",0,0,0,0,"Near Mint (NM)",0.92,"",""
"Lifestream's Blessing","","=IMAGE(""https://cards.scryfall.io/normal/front/d/1/d1d50fa8-e92c-4531-b773-b9ef406e8c44.jpg?1783906332"", 1)","FIC","0122","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF7","Rare","Instant","G","No",0,0,0,0,"Near Mint (NM)",2.61,5.9,""
"Lightning, Army of One","","=IMAGE(""https://cards.scryfall.io/normal/front/1/1/1103da9c-300c-406b-997d-9e5bb7cd02d6.jpg?1783906566"", 1)","FIN","0233","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF13","Mythic","Legendary Creature — Human Soldier","RW","No",0,0,0,0,"Near Mint (NM)",9.6,13.11,""
"Lightning, Army of One","","=IMAGE(""https://cards.scryfall.io/normal/front/9/e/9e575906-0f1e-4f24-aa0b-832fe1bb9613.jpg?1783906159"", 1)","PFIN","233s","Promo","Traditional Foil, Promo","Standard","FF13","Mythic","Legendary Creature — Human Soldier","RW","No",0,0,0,0,"Near Mint (NM)","",41.18,""
"Lightning, Army of One","","=IMAGE(""https://cards.scryfall.io/normal/front/b/e/be2af52c-9f38-40e4-a643-06c5f2a9f416.jpg?1783906533"", 1)","FIN","0320","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF13","Mythic","Legendary Creature — Human Soldier","RW","No",0,0,0,0,"Near Mint (NM)",34.48,66.3,""
"Lightning, Army of One","","=IMAGE(""https://cards.scryfall.io/normal/front/4/5/45cb2a76-7d12-41e6-93c7-09922934699c.jpg?1783906501"", 1)","FIN","0400","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF13","Mythic","Legendary Creature — Human Soldier","RW","No",0,0,0,0,"Near Mint (NM)",23.25,30.06,""
"Lightning, Army of One","","=IMAGE(""https://cards.scryfall.io/normal/front/0/c/0c665905-183b-401f-b83c-a312d032e061.jpg?1783906461"", 1)","FIN","0498","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF13","Mythic","Legendary Creature — Human Soldier","RW","No",0,0,0,0,"Near Mint (NM)",18.17,36.19,""
"Lightning, Army of One","","=IMAGE(""https://cards.scryfall.io/normal/front/2/b/2b760674-b6cc-4730-8c88-4e627f60589c.jpg?1783906440"", 1)","FIN","0545","Surge Foil","Surge Foil","Borderless","FF13","Mythic","Legendary Creature — Human Soldier","RW","No",0,0,0,0,"Near Mint (NM)","",287.53,""
"Thrum of the Vestige","Lightning Bolt","=IMAGE(""https://cards.scryfall.io/normal/front/e/8/e89794ab-6070-4916-936f-2b42fe41d31b.jpg?1783906382"", 1)","FCA","0040","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF13","Uncommon","Instant","R","No",0,0,0,0,"Near Mint (NM)",0.62,1.93,""
"Lightning Greaves","","=IMAGE(""https://cards.scryfall.io/normal/front/7/7/779abd27-985f-4bb9-9330-38d49bf52903.jpg?1783906241"", 1)","FIC","0349","Surge Foil","Surge Foil","Standard","FF7","Uncommon","Artifact — Equipment","Colorless","No",0,0,0,0,"Near Mint (NM)",4.58,"",""
"Lightning, Security Sergeant","","=IMAGE(""https://cards.scryfall.io/normal/front/4/a/4ad4dce3-6e43-4528-b570-85547d03164e.jpg?1783906431"", 1)","FIN","0560","Promo","Non-Foil","Standard","FF13","Rare","Legendary Creature — Human Soldier","R","No",0,0,0,0,"Near Mint (NM)",0.36,"",""
"Lightning, Security Sergeant","","=IMAGE(""https://cards.scryfall.io/normal/front/4/0/40cce7b4-1d5d-4d91-90c5-71b79b5be1ac.jpg?1783906476"", 1)","FIN","0462","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF13","Rare","Legendary Creature — Human Soldier","R","No",0,0,0,0,"Near Mint (NM)",2.48,16.22,""
"Light of Judgment","","=IMAGE(""https://cards.scryfall.io/normal/front/9/8/98bb716d-ca66-445f-9cb3-0fc656c8ebff.jpg?1783906602"", 1)","FIN","0144","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF6","Common","Instant","R","No",0,0,0,0,"Near Mint (NM)",0.11,0.24,""
"A Promise Fulfilled","Light Up the Stage","=IMAGE(""https://cards.scryfall.io/normal/front/6/8/686150d8-1d01-4c4f-8e4d-61ada78d6859.jpg?1783906384"", 1)","FCA","0039","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF8","Uncommon","Sorcery","R","No",0,0,0,0,"Near Mint (NM)",0.36,0.83,""
"Lindblum, Industrial Regency // Mage Siege","","=IMAGE(""https://cards.scryfall.io/normal/front/5/4/548dd152-f0b6-4e8f-9afc-a4ec1671b648.jpg?1783906548"", 1)","FIN","0285","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF9","Rare","Land — Town // Instant — Adventure","R","No",0,0,0,0,"Near Mint (NM)",2.53,3.26,""
"Lindblum, Industrial Regency // Mage Siege","","=IMAGE(""https://cards.scryfall.io/normal/front/0/b/0b85e76c-6da8-46bc-b9ac-c89b72b5db00.jpg?1783906148"", 1)","PFIN","285s","Promo","Traditional Foil, Promo","Standard","FF9","Rare","Land — Town // Instant — Adventure","R","No",0,0,0,0,"Near Mint (NM)","",7.45,""
"Lindblum, Industrial Regency // Mage Siege","","=IMAGE(""https://cards.scryfall.io/normal/front/b/2/b2ae92d9-7047-424e-a482-2311888a8c56.jpg?1783906536"", 1)","FIN","0312","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF9","Rare","Land — Town // Instant — Adventure","R","No",0,0,0,0,"Near Mint (NM)",4.75,6.42,""
"Lingering Souls","","=IMAGE(""https://cards.scryfall.io/normal/front/e/4/e464408d-3e50-4a9e-beca-b91e15baacaf.jpg?1783906288"", 1)","FIC","0245","Surge Foil","Surge Foil","Standard","FF14","Uncommon","Sorcery","BW","No",0,0,0,0,"Near Mint (NM)",0.18,"",""
"Lion Heart","","=IMAGE(""https://cards.scryfall.io/normal/front/0/4/04d327a3-1699-4556-b681-a957671ad142.jpg?1783906556"", 1)","FIN","0261","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF8","Uncommon","Artifact — Equipment","Colorless","No",0,0,0,0,"Near Mint (NM)",0.19,0.29,""
"Locke Cole","","=IMAGE(""https://cards.scryfall.io/normal/front/5/7/572feb8c-6976-40a8-8a34-b4db836cca56.jpg?1783906565"", 1)","FIN","0234","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF6","Uncommon","Legendary Creature — Human Rogue","BU","No",0,0,0,0,"Near Mint (NM)",0.29,0.3,""
"Locke Cole","","=IMAGE(""https://cards.scryfall.io/normal/front/8/1/81d0f2e4-8b22-4c9b-ad01-fd0818fe7372.jpg?1783906461"", 1)","FIN","0499","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF6","Uncommon","Legendary Creature — Human Rogue","BU","No",0,0,0,0,"Near Mint (NM)",1.68,10.45,""
"Locke Cole // Locke Cole","","=IMAGE(""https://cards.scryfall.io/normal/front/b/f/bf158578-1959-4dee-9d11-d50d06bacbe6.jpg?1783906418"", 1)","AFIN","0015","Basic/Non-foil","Non-Foil, Traditional Foil","Art Card","FF6","Common","Card // Card","Colorless","No",0,0,0,0,"Near Mint (NM)","","",""
"Locke, Treasure Hunter","","=IMAGE(""https://cards.scryfall.io/normal/front/4/2/42cd66f2-0704-4c8e-b5de-6df93f4a8bed.jpg?1783906344"", 1)","FIC","0087","Surge Foil","Surge Foil","Standard","FF6","Rare","Legendary Creature — Human Rogue","BR","No",0,0,0,0,"Near Mint (NM)",0.36,"",""
"Locke, Treasure Hunter","","=IMAGE(""https://cards.scryfall.io/normal/front/a/f/af4481b1-43b0-43e6-a9ea-f4ec0a551e61.jpg?1783904646"", 1)","FIC","0475","Wave Foil","Wave Foil","Borderless","FF6","Rare","Legendary Creature — Human Rogue","BR","No",0,0,0,0,"Near Mint (NM)","",35.16,""
"Locke, Treasure Hunter","","=IMAGE(""https://cards.scryfall.io/normal/front/d/0/d089946c-87c5-4135-8372-ed7b8a03548c.jpg?1783906312"", 1)","FIC","0177","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF6","Rare","Legendary Creature — Human Rogue","BR","No",0,0,0,0,"Near Mint (NM)",0.94,4.54,""
"Loporrit Scout","","=IMAGE(""https://cards.scryfall.io/normal/front/a/1/a182bc66-bfda-4bf5-bd12-3de5dba60945.jpg?1783906585"", 1)","FIN","0192","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF14","Common","Creature — Rabbit Scout","G","No",0,0,0,0,"Near Mint (NM)",0.13,0.22,""
"Garnet Til Alexandros 17th","Loran of the Third Path","=IMAGE(""https://cards.scryfall.io/normal/front/4/5/450ec0a6-839b-4a35-a79b-ae358408a17c.jpg?1783906388"", 1)","FCA","0024","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF9","Rare","Legendary Creature — Human Artificer","W","No",0,0,0,0,"Near Mint (NM)",5.63,28.49,""
"Lord Jyscal Guado","","=IMAGE(""https://cards.scryfall.io/normal/front/1/3/134ef3cd-01ac-4d60-a277-df7ab7b8f88c.jpg?1783906367"", 1)","FIC","0023","Surge Foil","Surge Foil","Standard","FF10","Rare","Legendary Creature — Spirit Cleric","W","No",0,0,0,0,"Near Mint (NM)",0.21,"",""
"Lord Jyscal Guado","","=IMAGE(""https://cards.scryfall.io/normal/front/b/d/bd61145b-5177-4b7e-8ac2-f07e6cf4863a.jpg?1783906327"", 1)","FIC","0137","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF10","Rare","Legendary Creature — Spirit Cleric","W","No",0,0,0,0,"Near Mint (NM)",0.4,1.75,""
"Louisoix's Sacrifice","","=IMAGE(""https://cards.scryfall.io/normal/front/4/a/4a6976f2-0bd5-449a-8fcf-f5a732ce22c1.jpg?1783906634"", 1)","FIN","0059","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF14","Rare","Instant","U","No",0,0,0,0,"Near Mint (NM)",0.4,0.73,""
"Louisoix's Sacrifice","","=IMAGE(""https://cards.scryfall.io/normal/front/7/a/7a948f96-fdd8-4f6c-a737-3d74b7daff71.jpg?1783906191"", 1)","PFIN","59s","Promo","Traditional Foil, Promo","Standard","FF14","Rare","Instant","U","No",0,0,0,0,"Near Mint (NM)","",11.48,""
"Lulu, Stern Guardian","","=IMAGE(""https://cards.scryfall.io/normal/front/9/c/9c0b1d5d-2b10-4dde-bb95-8cbf780cca97.jpg?1783906362"", 1)","FIC","0038","Surge Foil","Surge Foil","Standard","FF10","Rare","Legendary Creature — Human Wizard","U","No",0,0,0,0,"Near Mint (NM)",0.38,"",""
"Lulu, Stern Guardian","","=IMAGE(""https://cards.scryfall.io/normal/front/9/9/99cb1ba3-e16b-414d-8682-fb3b2f350ea2.jpg?1783904647"", 1)","FIC","0467","Wave Foil","Wave Foil","Borderless","FF10","Rare","Legendary Creature — Human Wizard","U","No",0,0,0,0,"Near Mint (NM)","",119.02,""
"Lulu, Stern Guardian","","=IMAGE(""https://cards.scryfall.io/normal/front/6/1/61844cbe-f4b3-45c6-bf4c-76542de4b195.jpg?1783906326"", 1)","FIC","0143","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF10","Rare","Legendary Creature — Human Wizard","U","No",0,0,0,0,"Near Mint (NM)",2.76,12.89,""
"Luminous Broodmoth","","=IMAGE(""https://cards.scryfall.io/normal/front/e/6/e6fc5c0b-0b64-491d-b312-b9b2133225d9.jpg?1783906286"", 1)","FIC","0246","Surge Foil","Surge Foil","Standard","FF10","Mythic","Creature — Insect","W","No",0,0,0,0,"Near Mint (NM)",0.56,"",""
"Lunatic Pandora","","=IMAGE(""https://cards.scryfall.io/normal/front/d/6/d6e1e3e7-20d4-42cb-ad22-60356b9e8fdc.jpg?1783906555"", 1)","FIN","0262","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF8","Common","Legendary Artifact","Colorless","No",0,0,0,0,"Near Mint (NM)",0.16,0.27,""
"Lyse Hext","","=IMAGE(""https://cards.scryfall.io/normal/front/9/7/97845ece-ceef-468c-a4e3-6fde1413c9f0.jpg?1783906345"", 1)","FIC","0088","Surge Foil","Surge Foil","Standard","FF14","Rare","Legendary Creature — Human Rebel Monk","UW","No",0,0,0,0,"Near Mint (NM)",0.29,"",""
"Lyse Hext","","=IMAGE(""https://cards.scryfall.io/normal/front/2/2/227ada0a-e1b5-44ed-8303-d6449069599f.jpg?1783906314"", 1)","FIC","0178","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF14","Rare","Legendary Creature — Human Rebel Monk","UW","No",0,0,0,0,"Near Mint (NM)",1.34,9.95,""
"Machinist's Arsenal","","=IMAGE(""https://cards.scryfall.io/normal/front/f/f/ff976428-2145-4630-aab1-08870b90b2f0.jpg?1783906647"", 1)","FIN","0023","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF14","Rare","Artifact — Equipment","W","No",0,0,0,0,"Near Mint (NM)",0.93,1.66,""
"Machinist's Arsenal","","=IMAGE(""https://cards.scryfall.io/normal/front/a/9/a9b212fb-4666-40d5-bd81-ca4446561725.jpg?1783906198"", 1)","PFIN","23s","Promo","Traditional Foil, Promo","Standard","FF14","Rare","Artifact — Equipment","W","No",0,0,0,0,"Near Mint (NM)","",17.95,""
"Machinist's Arsenal // Machinist's Arsenal","","=IMAGE(""https://cards.scryfall.io/normal/front/0/9/09f68f79-0f5d-470b-adf2-4a554b9bf9a3.jpg?1783906425"", 1)","AFIN","0002","Basic/Non-foil","Non-Foil, Traditional Foil","Art Card","FF14","Common","Card // Card","Colorless","No",0,0,0,0,"Near Mint (NM)","","",""
"Maester Seymour","","=IMAGE(""https://cards.scryfall.io/normal/front/f/6/f6a4267b-aa76-4dec-bc72-252236c44968.jpg?1783906351"", 1)","FIC","0068","Surge Foil","Surge Foil","Standard","FF10","Rare","Legendary Creature — Human Elf Cleric","G","No",0,0,0,0,"Near Mint (NM)",0.29,"",""
"Maester Seymour","","=IMAGE(""https://cards.scryfall.io/normal/front/5/8/5861c54a-6385-46d2-8daa-83fd717d6928.jpg?1783906320"", 1)","FIC","0160","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF10","Rare","Legendary Creature — Human Elf Cleric","G","No",0,0,0,0,"Near Mint (NM)",1.36,6.34,""
"Magic Damper","","=IMAGE(""https://cards.scryfall.io/normal/front/4/4/44921b2e-5938-4f63-92b9-0b719a2f8c68.jpg?1783906635"", 1)","FIN","0061","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF13","Common","Instant","U","No",0,0,0,0,"Near Mint (NM)",0.28,0.35,""
"Magic Pot","","=IMAGE(""https://cards.scryfall.io/normal/front/5/7/57d07ca0-5618-4a90-a605-ca14a193ce3b.jpg?1783906555"", 1)","FIN","0263","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF5","Common","Artifact Creature — Goblin Construct","Colorless","No",0,0,0,0,"Near Mint (NM)",0.11,0.18,""
"Magitek Armor","","=IMAGE(""https://cards.scryfall.io/normal/front/5/9/59c4a1a2-623c-43b2-8005-ecb5c6436c10.jpg?1783906647"", 1)","FIN","0024","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF6","Uncommon","Artifact — Vehicle","W","No",0,0,0,0,"Near Mint (NM)",0.14,0.27,""
"Magitek Infantry","","=IMAGE(""https://cards.scryfall.io/normal/front/b/6/b64dc6d7-dd01-4e66-9099-4c90865448df.jpg?1783906647"", 1)","FIN","0025","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF15","Common","Artifact Creature — Robot Soldier","W","No",0,0,0,0,"Near Mint (NM)",0.14,0.21,""
"Magitek Scythe","","=IMAGE(""https://cards.scryfall.io/normal/front/8/b/8b691d42-3498-4d47-9a46-f7c376df8886.jpg?1783906432"", 1)","FIN","0562","Promo","Non-Foil","Standard","FF14","Rare","Artifact — Equipment","Colorless","No",0,0,0,0,"Near Mint (NM)",0.27,"",""
"Malboro","","=IMAGE(""https://cards.scryfall.io/normal/front/e/4/e46d8048-03ce-4e07-ba24-f41ba6140a4e.jpg?1783906617"", 1)","FIN","0106","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF15","Common","Creature — Plant Horror","B","No",0,0,0,0,"Near Mint (NM)",0.17,0.25,""
"Minwu, Rebellion Strategist","Mangara, the Diplomat","=IMAGE(""https://cards.scryfall.io/normal/front/2/3/232b5c18-0a0a-425d-89aa-de2db833a22c.jpg?1783906387"", 1)","FCA","0025","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF2","Rare","Legendary Creature — Human Cleric","W","No",0,0,0,0,"Near Mint (NM)",2.25,14.97,""
"Mask of Memory","","=IMAGE(""https://cards.scryfall.io/normal/front/a/9/a9118fbe-f19c-4a65-a6ac-1c8a6308628d.jpg?1783906238"", 1)","FIC","0350","Surge Foil","Surge Foil","Standard","FF7","Uncommon","Artifact — Equipment","Colorless","No",0,0,0,0,"Near Mint (NM)",0.35,"",""
"Matoya, Archon Elder","","=IMAGE(""https://cards.scryfall.io/normal/front/1/d/1dd61cf6-2fb5-4cff-ab00-7677ac85774c.jpg?1783906634"", 1)","FIN","0062","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF14","Rare","Legendary Creature — Human Warlock","U","No",0,0,0,0,"Near Mint (NM)",0.51,0.81,""
"Matoya, Archon Elder","","=IMAGE(""https://cards.scryfall.io/normal/front/d/5/d5cc0b50-5c09-4c74-b9dc-92bb95781e7f.jpg?1783906191"", 1)","PFIN","62s","Promo","Traditional Foil, Promo","Standard","FF14","Rare","Legendary Creature — Human Warlock","U","No",0,0,0,0,"Near Mint (NM)","",5.67,""
"Matoya, Archon Elder","","=IMAGE(""https://cards.scryfall.io/normal/front/0/4/0429bba6-d496-49ac-b849-fb8274f86880.jpg?1783906487"", 1)","FIN","0439","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF14","Rare","Legendary Creature — Human Warlock","U","No",0,0,0,0,"Near Mint (NM)",2.98,14.94,""
"Mega Flare","","=IMAGE(""https://cards.scryfall.io/normal/front/d/a/daecaf9c-f327-435a-963b-a4631b6cca5c.jpg?1783904652"", 1)","FIC","0456","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF9","Rare","Sorcery","R","No",0,0,0,0,"Near Mint (NM)",1.88,0.94,""
"Mega Flare // Mega Flare","","=IMAGE(""https://cards.scryfall.io/normal/front/e/5/e51442af-ecc5-4972-9ed4-f8621142b46c.jpg?1783904665"", 1)","AFIC","0015","Basic/Non-foil","Non-Foil, Traditional Foil","Art Card","FF9","Common","Card // Card","Colorless","No",0,0,0,0,"Near Mint (NM)","","",""
"Memories Returning","","=IMAGE(""https://cards.scryfall.io/normal/front/a/7/a753abfc-35d3-4faf-ab35-3b51aa778174.jpg?1783906633"", 1)","FIN","0063","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF8","Rare","Sorcery","U","No",0,0,0,0,"Near Mint (NM)",0.27,0.36,""
"Memories Returning","","=IMAGE(""https://cards.scryfall.io/normal/front/c/c/cc6f3187-0563-4843-a914-525446324411.jpg?1783906190"", 1)","PFIN","63s","Promo","Traditional Foil, Promo","Standard","FF8","Rare","Sorcery","U","No",0,0,0,0,"Near Mint (NM)","",4.09,""
"Memories Returning","","=IMAGE(""https://cards.scryfall.io/normal/front/f/b/fb3c836d-8012-4591-ba4f-e6db6d59b974.jpg?1783906529"", 1)","FIN","0331","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF8","Rare","Sorcery","U","No",0,0,0,0,"Near Mint (NM)",1.0,1.32,""
"Meteor Golem","","=IMAGE(""https://cards.scryfall.io/normal/front/7/a/7aeddfc1-38b0-4491-92f1-0a9989a53439.jpg?1783906244"", 1)","FIC","0351","Surge Foil","Surge Foil","Standard","FF6","Uncommon","Artifact Creature — Golem","Colorless","No",0,0,0,0,"Near Mint (NM)",0.2,"",""
"Midgar, City of Mako // Reactor Raid","","=IMAGE(""https://cards.scryfall.io/normal/front/8/a/8a837256-6bb4-4a60-962d-d2793548d26c.jpg?1783906547"", 1)","FIN","0286","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF7","Rare","Land — Town // Sorcery — Adventure","B","No",0,0,0,0,"Near Mint (NM)",1.73,2.51,""
